GENE	ctrl1	ctrl2	ctrl3	treat1	treat2	treat3
0610005C13Rik	1438	1104	1825	1348	1154	1005
0610007N19Rik	1012	1152	1139	878	885	835
0610007P14Rik	704	796	881	826	865	929
0610009B22Rik	757	802	780	885	853	987
0610009D07Rik	1107	1183	1220	1258	1221	1428
0610009L18Rik	129	154	139	138	166	179
0610009O20Rik	1585	1791	1729	2004	1951	2215
0610010B08Rik	0	0	0	0	0	0
0610010F05Rik	401	455	484	499	509	622
0610010K14Rik	618	743	812	703	792	807
0610011F06Rik	2614	2352	2973	2620	2466	2545
0610012G03Rik	1232	1326	1368	1640	1740	2071
0610012H03Rik	1071	943	1495	854	784	648
0610030E20Rik	722	857	846	724	715	797
0610031J06Rik	2555	2910	3033	3512	3967	4234
0610031O16Rik	8	2	8	2	1	0
0610037L13Rik	550	634	621	631	649	695
0610038B21Rik	12	5	14	9	3	3
0610039K10Rik	4	2	7	5	0	3
0610040B10Rik	18	22	19	15	27	24
0610040F04Rik	99	59	144	66	50	58
0610040J01Rik	1496	1708	1718	1735	1915	2087
0610043K17Rik	29	17	27	9	9	8
1010001N08Rik	0	1	1	1	1	0
1100001G20Rik	0	0	0	0	0	0
1110001A16Rik	328	314	352	346	366	390
1110001J03Rik	1292	1434	1418	1488	1666	2065
1110002L01Rik	32	40	44	58	66	73
1110004E09Rik	507	566	643	572	577	658
1110004F10Rik	909	1021	1009	1071	1134	1232
1110006O24Rik	40	37	38	36	40	46
1110007C09Rik	473	516	481	552	570	629
1110008F13Rik	744	843	879	834	880	951
1110008L16Rik	349	411	411	413	398	419
1110008P14Rik	884	1092	1016	1209	1264	1389
1110012L19Rik	345	416	368	377	409	492
1110015O18Rik	0	0	0	0	0	0
1110017D15Rik	0	1	2	0	1	2
1110019D14Rik	149	162	175	127	127	177
1110020A21Rik	26	27	37	29	44	31
1110025L11Rik	0	0	0	0	0	0
1110028F11Rik	0	1	1	1	0	0
1110028F18Rik	0	0	0	0	0	0
1110032A03Rik	1092	1066	1168	1127	1258	1258
1110032F04Rik	100	46	155	24	18	26
1110034G24Rik	154	186	177	171	155	224
1110036E04Rik	0	0	0	0	0	0
1110037F02Rik	1032	1225	1241	1223	1225	1423
1110038B12Rik	192	154	166	192	214	170
1110038F14Rik	413	493	425	429	490	521
1110046J04Rik	8	6	14	6	10	7
1110051M20Rik	492	522	553	460	510	564
1110054M08Rik	176	165	194	181	163	228
1110057K04Rik	949	1045	1087	1158	1013	1164
1110058L19Rik	536	548	580	553	630	674
1110059E24Rik	367	436	442	377	421	518
1110059G10Rik	362	389	410	369	444	455
1110059M19Rik	0	0	0	0	0	0
1110065P20Rik	233	255	260	284	240	297
1190002F15Rik	58	38	75	76	48	91
1190002N15Rik	496	751	625	432	575	519
1190003K10Rik	0	0	0	1	0	0
1190005I06Rik	34	32	26	28	42	38
1190007I07Rik	203	205	199	212	245	240
1200014J11Rik	589	720	746	692	703	826
1300002E11Rik	525	622	649	687	625	685
1300002K09Rik	270	169	385	180	147	190
1300017J02Rik	0	1	0	2	0	0
1500004A13Rik	45	61	38	47	41	43
1500009C09Rik	0	1	0	0	0	0
1500009L16Rik	5	15	6	2	8	1
1500011B03Rik	231	291	286	298	342	341
1500011K16Rik	652	753	722	712	756	797
1500012F01Rik	268	285	275	260	269	245
1500012K07Rik	0	0	0	0	0	0
1500015A07Rik	68	88	79	100	110	114
1500015L24Rik	0	0	0	0	0	0
1500015O10Rik	139	169	144	71	71	115
1500017E21Rik	0	0	0	0	0	0
1600002D24Rik	0	1	1	1	1	0
1600002H07Rik	93	95	125	107	110	105
1600002K03Rik	117	117	112	124	148	145
1600010M07Rik	4	1	0	1	1	1
1600012H06Rik	904	1070	1042	961	1112	1038
1600014C10Rik	709	734	840	798	796	730
1600014C23Rik	2	0	0	2	1	1
1600014K23Rik	0	0	0	0	0	0
1600015I10Rik	0	0	0	1	0	0
1600016N20Rik	75	128	114	89	130	130
1600019K03Rik	0	0	0	0	0	0
1600020E01Rik	114	124	156	123	112	115
1600023N17Rik	5	8	5	7	10	4
1600025M17Rik	0	0	0	0	0	0
1600027J07Rik	0	0	0	0	0	0
1600029I14Rik	1	0	0	0	0	0
1600029O15Rik	1	0	0	0	0	0
1700001C02Rik	0	0	1	0	0	0
1700001C19Rik	3	2	3	2	2	2
1700001D01Rik	1	3	1	5	2	0
1700001F09Rik	0	0	0	0	0	0
1700001G11Rik	6	9	3	7	3	6
1700001G17Rik	8	9	7	10	19	8
1700001J03Rik	3	2	7	5	10	4
1700001J11Rik	14	19	15	14	14	21
1700001K19Rik	7	2	4	2	3	2
1700001K23Rik	1	0	1	0	0	2
1700001L05Rik	87	123	135	129	154	163
1700001L19Rik	8	11	12	14	11	25
1700001O22Rik	34	32	50	39	45	66
1700001P01Rik	1	1	0	0	0	0
1700003C15Rik	0	0	0	0	0	0
1700003D09Rik	6	6	4	2	1	1
1700003E16Rik	136	125	152	148	181	170
1700003E24Rik	0	0	0	0	0	0
1700003F12Rik	0	0	0	0	0	0
1700003G13Rik	0	0	0	1	0	0
1700003G18Rik	1	0	0	0	1	0
1700003H04Rik	0	0	0	0	0	0
1700003L19Rik	0	0	0	1	0	0
1700003M02Rik	1	1	1	1	0	2
1700003M07Rik	0	1	0	1	0	0
1700003P14Rik	0	1	0	0	1	0
1700006A11Rik	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	0	0
1700006F04Rik	0	0	0	0	0	0
1700006H21Rik	0	0	0	0	0	0
1700007B14Rik	0	0	1	0	0	0
1700007F19Rik	0	3	0	2	0	0
1700007G11Rik	2	2	1	3	6	3
1700007J10Rik	4	3	2	0	3	0
1700007K09Rik	1	0	0	0	0	0
1700007K13Rik	24	33	41	44	47	70
1700007L15Rik	30	59	45	50	55	63
1700007P06Rik	0	0	0	0	0	0
1700008F21Rik	0	1	0	0	0	1
1700008I05Rik	0	1	0	0	0	0
1700008J07Rik	182	163	179	174	185	202
1700008K24Rik	0	0	0	0	0	0
1700008O03Rik	6	5	10	12	10	1
1700008P02Rik	0	0	0	0	0	0
1700009C05Rik	0	0	0	0	0	0
1700009J07Rik	161	191	178	170	223	226
1700009N14Rik	0	0	0	0	0	0
1700009P17Rik	71	59	115	58	74	61
1700010B08Rik	0	0	0	0	0	0
1700010D01Rik	0	0	0	0	0	0
1700010I02Rik	0	0	0	0	0	0
1700010I14Rik	42	25	36	47	49	57
1700010J16Rik	0	0	0	0	0	0
1700010K23Rik	0	0	0	0	0	0
1700011A15Rik	1	5	4	3	1	1
1700011B04Rik	0	0	0	0	0	0
1700011E24Rik	0	0	2	1	1	0
1700011H14Rik	5070	5819	5889	4967	5289	5740
1700011I03Rik	2	0	0	1	0	0
1700011L22Rik	0	0	0	0	0	0
1700011M02Rik	0	0	0	1	0	0
1700012A03Rik	0	0	0	0	0	0
1700012B07Rik	0	0	0	0	0	0
1700012B09Rik	0	0	0	0	0	0
1700012D01Rik	21	18	22	13	14	29
1700012D14Rik	18	11	10	19	14	13
1700012I11Rik	0	0	0	0	0	0
1700012L04Rik	0	0	0	0	0	0
1700012P22Rik	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0
1700013F07Rik	0	3	0	0	1	1
1700013G24Rik	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0
1700015E13Rik	1	3	0	3	2	2
1700015F17Rik	1	0	0	0	0	0
1700015G11Rik	0	0	0	0	0	0
1700016C15Rik	313	182	302	524	281	259
1700016D06Rik	0	0	0	0	0	0
1700016G22Rik	0	0	2	0	0	0
1700016H13Rik	0	0	1	1	0	4
1700016K19Rik	0	2	1	1	6	4
1700016L04Rik	0	1	0	1	1	0
1700016L21Rik	0	0	0	0	0	0
1700016P04Rik	0	0	0	0	0	0
1700017B05Rik	234	254	297	296	331	248
1700017D01Rik	0	0	0	0	0	0
1700017G19Rik	0	0	0	0	0	0
1700017J07Rik	0	0	0	0	0	0
1700017N19Rik	0	0	0	0	0	0
1700018A04Rik	1	4	1	4	2	1
1700018B08Rik	0	0	0	0	1	1
1700018B24Rik	0	0	0	0	0	0
1700018C11Rik	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0
1700018G05Rik	0	0	1	1	0	1
1700018L02Rik	40	62	61	57	69	71
1700019A02Rik	2	1	0	0	1	1
1700019B03Rik	1	1	0	3	2	0
1700019B21Rik	0	0	0	0	0	0
1700019D03Rik	5	14	12	12	20	23
1700019E08Rik	0	0	0	0	0	0
1700019G17Rik	223	223	251	245	274	264
1700019G24Rik	0	0	0	0	0	0
1700019L03Rik	13	12	19	14	17	18
1700019M22Rik	0	0	0	0	0	0
1700019N19Rik	0	0	0	0	0	0
1700019O17Rik	0	0	0	0	0	0
1700020A23Rik	0	0	1	0	0	1
1700020D05Rik	4	5	4	4	9	5
1700020G17Rik	0	0	1	0	0	0
1700020I14Rik	765	948	923	902	1099	1251
1700020L24Rik	44	51	47	57	54	69
1700020M21Rik	0	0	0	0	0	0
1700020N01Rik	3	3	6	5	0	5
1700020N15Rik	0	0	0	0	0	0
1700020N18Rik	0	0	1	4	3	4
1700021F05Rik	720	775	849	1015	976	1158
1700021F07Rik	0	0	0	0	0	0
1700021K19Rik	959	1142	1050	1043	1114	1162
1700021N21Rik	1	0	1	3	2	2
1700022A21Rik	0	0	0	0	0	0
1700022A22Rik	0	0	0	0	0	0
1700022E09Rik	0	0	0	0	0	0
1700022H16Rik	0	0	0	0	0	0
1700022I11Rik	0	0	0	0	1	0
1700022P22Rik	1	0	1	1	3	0
1700023C21Rik	0	0	0	0	0	0
1700023E05Rik	0	0	1	0	0	0
1700023F02Rik	0	0	0	0	0	0
1700023F06Rik	2	1	1	0	3	1
1700023L04Rik	7	7	7	6	12	5
1700024B18Rik	0	0	0	0	0	0
1700024F13Rik	2	7	7	2	3	3
1700024G13Rik	0	0	0	0	0	0
1700024P04Rik	0	0	0	0	0	0
1700024P16Rik	42	40	54	56	116	118
1700025B11Rik	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0
1700025F22Rik	0	0	0	0	0	0
1700025F24Rik	0	0	0	0	0	0
1700025G04Rik	186	244	264	199	181	179
1700025K24Rik	0	0	0	0	0	0
1700025M24Rik	0	0	0	0	0	0
1700025N23Rik	0	0	0	0	0	0
1700026D08Rik	0	0	0	0	0	2
1700026D11Rik	0	0	0	0	0	0
1700026F02Rik	0	0	0	0	0	0
1700026L06Rik	3	3	7	2	6	10
1700027A15Rik	0	0	0	0	0	0
1700027F09Rik	0	0	0	0	2	0
1700027H10Rik	0	0	0	0	0	0
1700027I24Rik	0	0	0	0	0	0
1700027J07Rik	5	3	1	5	5	2
1700028B04Rik	51	72	60	75	57	76
1700028D13Rik	0	0	0	0	0	0
1700028E10Rik	5	10	16	11	17	20
1700028I16Rik	1	0	0	3	4	2
1700028J19Rik	194	194	200	162	181	186
1700028K03Rik	2	7	7	3	10	5
1700028M03Rik	0	0	0	0	0	0
1700028P14Rik	4	0	1	0	0	1
1700028P15Rik	0	0	0	0	0	0
1700029B22Rik	0	0	0	0	0	0
1700029F12Rik	0	0	0	0	0	0
1700029H14Rik	0	0	0	0	1	0
1700029I15Rik	12	3	10	10	17	9
1700029J03Rik	0	0	0	0	0	0
1700029J07Rik	148	168	197	137	154	157
1700029M20Rik	0	0	0	0	0	0
1700029N11Rik	9	9	18	8	7	4
1700029P11Rik	0	0	0	0	0	0
1700030A11Rik	0	0	0	0	0	0
1700030C10Rik	33	18	28	22	20	22
1700030F04Rik	0	0	0	0	0	0
1700030F18Rik	1	1	1	0	1	0
1700030J22Rik	56	54	65	72	63	54
1700030K09Rik	140	188	177	138	165	223
1700030L20Rik	0	0	0	0	0	0
1700030M09Rik	0	0	0	0	0	0
1700030N03Rik	0	0	0	0	0	0
1700030O20Rik	0	1	0	0	0	0
1700031A10Rik	0	0	0	1	0	0
1700031F05Rik	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0
1700031P21Rik	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0
1700034F02Rik	5	7	3	6	6	3
1700034G24Rik	0	0	0	0	0	0
1700034H15Rik	13	16	24	10	12	15
1700034I23Rik	2	1	1	0	1	0
1700034J05Rik	0	0	0	0	1	0
1700034K08Rik	0	0	0	0	0	0
1700034O15Rik	23	32	40	34	38	38
1700034P13Rik	13	18	30	7	8	13
1700036G14Rik	2	1	0	0	0	1
1700037C18Rik	152	183	202	220	181	288
1700037H04Rik	538	595	625	597	685	860
1700039E15Rik	0	0	0	0	0	0
1700039E22Rik	8	4	11	8	5	11
1700040L02Rik	769	791	798	942	966	1154
1700041C23Rik	0	0	0	0	0	0
1700041M19Rik	0	0	0	0	0	0
1700042B14Rik	0	0	0	0	1	1
1700042G07Rik	0	0	0	0	0	0
1700042G15Rik	0	0	0	0	0	0
1700042O10Rik	0	0	0	0	0	0
1700044C05Rik	0	0	0	0	0	0
1700044K03Rik	0	0	0	0	0	0
1700045H11Rik	0	0	0	0	0	0
1700046C09Rik	0	0	0	0	0	0
1700047A11Rik	0	0	0	0	0	0
1700047E10Rik	0	0	0	0	0	0
1700047G03Rik	0	0	0	0	0	0
1700047I17Rik2	0	0	0	0	0	0
1700047L14Rik	0	0	0	0	0	0
1700047M11Rik	0	0	0	0	0	0
1700048M11Rik	8	9	6	3	12	6
1700048O20Rik	17	20	23	12	11	21
1700049E15Rik	1	0	0	0	0	0
1700049E22Rik	0	0	0	0	0	0
1700049G17Rik	217	233	247	209	205	234
1700049L16Rik	18	24	21	25	23	16
1700051A21Rik	0	0	0	0	0	0
1700052I22Rik	0	0	0	0	0	0
1700052K11Rik	179	118	195	160	154	192
1700052N19Rik	271	344	363	379	369	375
1700054A03Rik	2	0	1	1	0	2
1700054K19Rik	0	0	0	0	0	0
1700054M17Rik	0	0	0	0	0	0
1700054O13Rik	0	0	0	0	0	0
1700055C04Rik	0	0	0	0	0	0
1700055N04Rik	51	34	105	17	38	8
1700056E22Rik	12	22	16	19	19	40
1700057G04Rik	0	0	0	1	0	0
1700057H15Rik	0	0	0	0	0	0
1700060C16Rik	2	0	0	0	0	1
1700060C20Rik	0	0	0	0	0	0
1700061F12Rik	0	0	0	0	0	0
1700061G19Rik	1	2	4	2	0	3
1700061I17Rik	0	0	0	0	0	0
1700063A18Rik	0	0	0	0	0	0
1700063D05Rik	0	0	1	0	0	0
1700063O14Rik	1	0	0	0	0	0
1700064J06Rik	0	0	0	0	0	0
1700064M15Rik	0	0	0	0	0	1
1700065D16Rik	1	1	2	1	0	0
1700065I16Rik	0	0	0	0	0	0
1700065I17Rik	0	0	0	0	0	0
1700065J11Rik	0	0	0	0	0	0
1700065J18Rik	0	0	0	0	0	0
1700065L07Rik	0	0	0	2	0	0
1700065O20Rik	11	2	5	10	4	11
1700066B17Rik	0	0	0	0	0	0
1700066B19Rik	3	2	4	4	11	2
1700066M21Rik	365	446	405	429	433	514
1700066N21Rik	0	0	0	0	0	0
1700066O22Rik	0	0	0	0	0	1
1700067G17Rik	1	0	0	2	0	0
1700067K01Rik	34	30	40	32	38	31
1700067P10Rik	0	0	0	0	0	0
1700069L16Rik	0	0	0	0	0	0
1700069P05Rik	0	0	0	0	0	0
1700071K01Rik	0	0	0	0	0	0
1700071M16Rik	1	2	2	2	4	1
1700072B07Rik	0	0	0	0	0	0
1700072O05Rik	0	0	0	0	0	0
1700073E17Rik	1	1	1	0	0	0
1700074H08Rik	0	0	0	0	0	0
1700074P13Rik	0	0	0	0	0	0
1700080E11Rik	0	0	0	0	0	0
1700080N15Rik	0	0	0	0	0	0
1700080O16Rik	0	0	0	0	0	0
1700081H04Rik	0	0	0	0	0	0
1700084C01Rik	0	2	0	3	0	0
1700084E18Rik	5	7	7	15	12	7
1700084F23Rik	0	0	0	0	0	0
1700084J12Rik	13	9	15	17	5	10
1700085C21Rik	0	0	0	0	0	1
1700086L19Rik	0	0	0	1	2	1
1700086O06Rik	80	88	94	137	112	128
1700088E04Rik	55	47	41	60	51	55
1700091H14Rik	0	0	0	0	0	0
1700092C02Rik	0	0	0	0	0	0
1700092C10Rik	0	0	0	0	0	0
1700092E19Rik	0	0	0	0	0	0
1700092K14Rik	0	0	0	0	0	0
1700092M07Rik	1	3	0	2	2	6
1700093K21Rik	0	1	0	0	0	0
1700094D03Rik	120	121	119	117	127	102
1700094J05Rik	0	0	0	0	0	0
1700094M24Rik	0	0	0	0	0	0
1700095A21Rik	0	0	0	0	0	0
1700095B10Rik	0	0	0	0	0	0
1700096J18Rik	0	3	2	0	4	2
1700096K18Rik	108	111	118	107	141	138
1700097N02Rik	0	0	0	0	0	0
1700100L14Rik	0	0	0	0	0	0
1700101E01Rik	12	3	9	10	18	9
1700101I11Rik	39	35	35	38	46	31
1700101O22Rik	0	0	0	0	0	0
1700102H20Rik	13	10	5	8	8	9
1700102P08Rik	11	22	10	11	7	9
1700104L18Rik	0	0	0	0	0	0
1700105P06Rik	1	2	2	1	3	3
1700106J16Rik	11	10	12	0	4	4
1700108F19Rik	2	0	0	1	0	2
1700108J01Rik	0	0	0	0	0	0
1700109G14Rik	0	0	0	0	0	0
1700109G15Rik	2	0	0	0	0	0
1700109H08Rik	4	4	7	5	11	1
1700109I08Rik	0	0	0	0	0	0
1700109K24Rik	4	2	2	6	1	7
1700110C19Rik	1	1	0	0	0	0
1700110I01Rik	0	0	0	0	0	0
1700110K17Rik	2	0	1	0	1	0
1700110M21Rik	0	0	0	0	0	0
1700111N16Rik	0	0	0	0	0	0
1700112E06Rik	19	23	18	20	17	20
1700112H15Rik	0	0	0	0	0	0
1700112J05Rik	0	1	0	0	0	1
1700113A16Rik	213	258	220	206	248	253
1700113H08Rik	1	0	0	0	0	0
1700119H24Rik	8	2	11	7	0	3
1700120C14Rik	1	1	2	2	1	7
1700120E14Rik	2	0	0	0	0	0
1700120G07Rik	1	0	0	0	0	0
1700120K04Rik	5	9	4	5	3	12
1700121L16Rik	0	0	1	0	0	0
1700121N20Rik	0	0	0	0	0	0
1700122O11Rik	0	0	0	0	0	0
1700123I01Rik	0	0	0	1	1	0
1700123K08Rik	0	0	0	0	0	0
1700123L14Rik	2	0	3	0	1	4
1700123M08Rik	17	19	20	14	16	18
1700123O12Rik	0	0	0	0	0	0
1700123O20Rik	768	789	844	924	868	1119
1700123O21Rik	1	0	0	0	0	0
1700124L16Rik	7	9	11	9	7	10
1700125G02Rik	0	0	0	0	0	0
1700125G22Rik	1	1	4	0	2	1
1700125H03Rik	0	0	0	0	0	0
1700125H20Rik	0	0	0	0	1	0
1700126H18Rik	0	0	0	0	0	1
1700128A07Rik	1	0	0	0	0	0
1700128F08Rik	0	0	0	0	0	0
1700129C05Rik	0	0	0	0	0	0
1810006J02Rik	0	3	4	0	1	0
1810007C17Rik	0	0	0	0	0	0
1810007D17Rik	0	0	0	0	0	0
1810008I18Rik	0	0	1	0	0	0
1810009A15Rik	22	8	16	19	16	11
1810009J06Rik	0	0	0	0	0	0
1810010D01Rik	3	3	2	1	1	5
1810010H24Rik	38	27	42	34	44	29
1810011H11Rik	7	10	12	11	12	5
1810011O10Rik	537	423	455	440	447	390
1810012K16Rik	4	3	2	1	5	8
1810013A23Rik	4	7	3	8	12	23
1810013L24Rik	1337	1489	1511	1667	1652	1512
1810014B01Rik	169	137	166	184	143	192
1810018F18Rik	0	0	0	0	0	0
1810019D21Rik	451	566	513	518	520	566
1810019J16Rik	763	864	858	816	955	964
1810020O05Rik	0	2	0	0	1	1
1810021B22Rik	46	65	52	69	61	60
1810022K09Rik	88	78	90	95	58	79
1810024B03Rik	15	17	16	18	24	23
1810026B05Rik	410	502	567	409	510	526
1810026J23Rik	1335	1573	1519	1446	1544	1563
1810030O07Rik	598	740	694	683	794	807
1810032O08Rik	124	121	145	136	130	132
1810033B17Rik	1	2	1	0	1	2
1810034E14Rik	181	180	198	220	190	221
1810037I17Rik	726	805	846	780	875	984
1810041L15Rik	24	18	30	35	31	37
1810043G02Rik	411	474	515	479	504	530
1810043H04Rik	475	530	571	474	534	605
1810044D09Rik	70	90	58	82	56	79
1810046K07Rik	0	0	1	1	0	0
1810053B23Rik	0	0	0	0	0	0
1810055G02Rik	213	287	265	248	273	283
1810058I24Rik	1041	1099	1245	1155	1182	1190
1810062G17Rik	10	14	12	7	14	11
1810062O18Rik	11	18	8	6	11	4
1810064F22Rik	4	17	17	31	23	26
1810065E05Rik	0	0	0	0	0	0
2010001E11Rik	6	6	3	11	7	5
2010002M12Rik	31	43	45	47	45	51
2010003K11Rik	20	31	31	14	24	18
2010005H15Rik	4	2	3	0	3	0
2010009K17Rik	0	0	2	0	1	1
2010010A06Rik	13	15	17	16	22	13
2010012O05Rik	304	353	328	347	355	428
2010015L04Rik	8	8	9	10	12	17
2010016I18Rik	2	1	2	0	1	2
2010106C02Rik	0	0	1	0	0	0
2010106E10Rik	0	0	0	0	2	0
2010107E04Rik	5023	4907	5032	5709	5409	6638
2010107G12Rik	3	4	2	5	3	4
2010107G23Rik	253	274	292	294	279	390
2010109A12Rik	12	11	6	9	4	13
2010109I03Rik	0	1	0	2	0	2
2010111I01Rik	989	1194	1199	1045	1072	1213
2010204K13Rik	89	70	96	60	66	57
2010300C02Rik	47	57	50	48	40	36
2010308F09Rik	3	5	0	3	3	3
2010310C07Rik	0	0	0	0	1	0
2010315B03Rik	0	0	0	0	0	0
2010320M18Rik	335	360	391	335	344	339
2200002D01Rik	93	73	99	83	69	66
2200002J24Rik	7	17	14	17	17	19
2210010C04Rik	0	0	0	0	0	0
2210013O21Rik	406	528	483	432	439	488
2210015D19Rik	255	334	291	302	313	319
2210016F16Rik	1286	1356	1490	1667	1731	1986
2210016L21Rik	865	911	962	1063	1048	1231
2210018M11Rik	475	479	472	465	442	513
2210019I11Rik	0	0	0	0	0	0
2210039B01Rik	15	21	26	13	19	26
2210404O07Rik	1202	1025	1483	992	832	886
2210404O09Rik	68	97	87	85	109	97
2210407C18Rik	0	0	0	1	0	0
2210408F21Rik	163	188	186	171	195	230
2210408I21Rik	143	183	235	189	221	238
2210409D07Rik	0	0	0	0	0	0
2210409E12Rik	2	1	5	4	4	4
2210414B05Rik	0	0	0	0	0	0
2210416O15Rik	16	24	14	14	10	12
2210417A02Rik	0	1	2	0	0	0
2210420H20Rik	0	0	0	0	0	0
2300002M23Rik	2	2	3	1	0	0
2300003K06Rik	0	0	0	0	0	0
2300005B03Rik	0	0	1	0	1	3
2300009A05Rik	476	559	521	516	603	631
2310001H17Rik	110	148	148	143	89	155
2310001K24Rik	1	0	2	0	2	2
2310002D06Rik	0	0	0	0	0	0
2310002F09Rik	0	1	4	0	1	0
2310002J15Rik	5	4	5	10	5	8
2310002L09Rik	0	0	0	0	0	0
2310003H01Rik	580	834	686	758	825	952
2310005A03Rik	0	0	1	3	0	0
2310005E17Rik	0	0	0	0	0	0
2310005G13Rik	2	0	1	0	0	0
2310007B03Rik	78	71	150	94	79	96
2310007L24Rik	0	0	0	1	1	0
2310008N11Rik	1	3	1	0	0	0
2310009A05Rik	290	251	335	356	348	383
2310009B15Rik	32	49	55	40	47	40
2310010J17Rik	100	112	115	90	100	101
2310011J03Rik	737	810	761	773	846	984
2310014L17Rik	19	7	17	11	22	24
2310015A10Rik	146	188	199	254	238	244
2310015B20Rik	4	6	5	5	0	5
2310015D24Rik	0	0	0	0	0	0
2310016D03Rik	0	0	0	0	0	0
2310020H05Rik	0	1	0	0	0	1
2310022A10Rik	297	322	304	324	333	361
2310022B05Rik	684	631	769	639	707	697
2310030A07Rik	0	0	0	0	0	0
2310030G06Rik	837	883	873	938	1008	974
2310033P09Rik	259	321	349	317	335	357
2310034C09Rik	0	0	0	0	0	0
2310034G01Rik	51	50	62	55	51	60
2310034O05Rik	0	0	0	0	4	2
2310035C23Rik	918	1118	1167	1013	1203	1303
2310036O22Rik	1505	1919	1792	2240	2472	2842
2310039H08Rik	487	427	554	486	441	496
2310039L15Rik	0	0	0	0	0	0
2310040G24Rik	26	20	48	18	32	30
2310042E22Rik	0	0	0	0	0	0
2310043L19Rik	12	10	6	3	3	2
2310043O21Rik	1	0	3	2	1	0
2310045N01Rik	452	472	487	525	550	577
2310047M10Rik	402	631	546	472	580	568
2310050C09Rik	0	0	0	0	0	0
2310057J18Rik	0	0	0	0	0	0
2310057M21Rik	147	193	169	178	203	215
2310057N15Rik	0	0	0	0	0	0
2310061I04Rik	1366	1548	1551	1817	2023	2312
2310061J03Rik	87	73	98	88	105	86
2310061N02Rik	0	0	0	0	0	0
2310065F04Rik	0	0	0	0	0	0
2310067B10Rik	2029	2196	2190	2440	2701	3050
2310068J16Rik	17	14	9	11	15	14
2310069B03Rik	0	6	0	0	5	5
2310069G16Rik	8	26	11	26	17	33
2310079G19Rik	0	0	0	0	0	0
2310081J21Rik	0	0	0	0	0	0
2410002F23Rik	402	572	537	457	581	553
2410003L11Rik	49	49	60	46	83	94
2410004B18Rik	280	411	341	329	363	418
2410004I01Rik	1	2	4	0	1	4
2410004N09Rik	101	123	122	110	93	99
2410004P03Rik	0	0	0	0	0	0
2410006H16Rik	187	213	203	129	168	155
2410007B07Rik	0	0	0	0	0	0
2410012E07Rik	0	0	0	0	0	0
2410012M07Rik	0	1	0	1	0	0
2410015M20Rik	2736	2986	2937	3153	3381	4038
2410016O06Rik	203	257	225	225	229	265
2410017I17Rik	0	1	0	0	0	0
2410018L13Rik	0	0	0	0	0	0
2410018M08Rik	26	29	35	32	38	32
2410021H03Rik	0	0	0	0	0	0
2410076I21Rik	0	3	5	4	3	2
2410088K16Rik	2	2	4	1	2	4
2410089E03Rik	316	308	334	371	389	414
2410114N07Rik	0	0	0	0	0	0
2410124H12Rik	0	0	0	0	0	0
2410127L17Rik	33	56	35	33	42	49
2410131K14Rik	334	418	379	380	392	479
2410137M14Rik	0	0	0	0	0	0
2410141K09Rik	0	0	0	0	0	0
2500004C02Rik	112	162	173	130	160	147
2510002D24Rik	441	496	487	491	469	520
2510003E04Rik	1271	1385	1402	1460	1549	1743
2510009E07Rik	586	515	608	560	518	485
2510039O18Rik	1700	2022	1943	1984	2219	2497
2510049J12Rik	161	185	208	215	219	248
2610001J05Rik	951	1046	1120	1075	1028	1138
2610002J02Rik	594	724	761	767	887	815
2610002M06Rik	685	695	758	765	768	854
2610005L07Rik	63	66	51	53	52	56
2610008E11Rik	378	444	467	420	474	440
2610015P09Rik	235	228	294	228	234	238
2610016A17Rik	121	176	145	108	154	182
2610018G03Rik	65	81	95	95	59	94
2610020C07Rik	21	13	14	16	14	20
2610020H08Rik	43	62	73	66	62	59
2610027K06Rik	59	110	73	95	96	107
2610028E06Rik	0	0	0	0	0	1
2610028H24Rik	26	20	29	13	24	16
2610034B18Rik	793	867	978	1005	1212	1383
2610034M16Rik	0	0	0	2	0	0
2610035D17Rik	267	276	384	313	395	392
2610035F20Rik	0	0	0	0	0	0
2610037D02Rik	0	0	0	0	0	0
2610044O15Rik8	96	114	144	114	150	117
2610100L16Rik	0	0	0	0	0	0
2610203C20Rik	19	16	24	13	10	12
2610203C22Rik	11	7	19	17	15	10
2610206C17Rik	51	48	48	48	32	53
2610207O16Rik	23	27	31	19	17	22
2610301B20Rik	391	423	434	334	387	407
2610305D13Rik	13	13	30	12	11	7
2610306M01Rik	163	189	219	205	222	239
2610307P16Rik	10	35	28	17	15	26
2610316D01Rik	0	0	0	0	0	0
2610318N02Rik	2	0	1	0	2	3
2610507B11Rik	7402	8243	8616	8705	9950	10629
2610507I01Rik	364	494	508	379	436	438
2610524H06Rik	59	65	84	105	100	103
2610528A11Rik	6	7	2	5	9	3
2610528J11Rik	1074	1237	1160	1066	1095	1242
2700029M09Rik	486	602	566	583	524	691
2700038G22Rik	12	13	12	15	13	12
2700046A07Rik	0	0	3	0	1	2
2700046G09Rik	114	148	146	155	138	192
